time,last_low,last_high,last_open,last_close,last_volume,current_open,target_close,period_return,target_trade,profit
1577394000,127.13,129.33,128.71,127.46,3102.35088359,127.39,126.06,-0.010440379935630727,-1,1.3147981803909239
1577397600,125.74,127.4,127.39,126.06,5172.11607653,126.02,125.21,-0.006427551182352026,-1,0.8039888898587548
1577401200,124.1,126.02,126.02,125.21,4185.53483313,125.19,125.49,0.00239635753654443,1,0.30041818835369954
1577404800,124.83,125.56,125.19,125.49,3500.20931863,125.49,125.21,-0.0022312534863335814,-1,0.2790958737748039
1577408400,125.0,125.56,125.49,125.21,1508.31235132,125.16,125.67,0.004074784276126599,1,0.5115660618408489
1577412000,125.03,125.67,125.16,125.67,794.98831895,125.66,126.18,0.004138150565016793,1,0.5216296864555251
1577415600,125.65,126.38,125.66,126.18,831.7263515,126.18,126.08,-0.000792518624187736,0,-0.0
1577419200,125.82,126.26,126.18,126.08,1537.06448819,126.09,125.03,-0.00840669363153305,-1,1.0500378158458266
1577422800,124.98,126.11,126.09,125.03,1568.62328327,125.02,125.16,0.0011198208286674178,1,0.14001661814109798
1577426400,124.85,125.49,125.02,125.16,1919.8446709,125.16,124.85,-0.00247682965803773,-1,0.3089229506232046
1577430000,124.84,125.16,125.16,124.85,691.41589742,124.86,124.4,-0.003684126221367882,-1,0.45784699663622636
1577433600,124.01,124.86,124.86,124.4,1017.36136696,124.39,124.71,0.002572554063831443,1,0.3205023940831188
1577437200,124.15,124.85,124.39,124.71,1341.14556881,124.65,124.31,-0.0027276373846771233,-1,0.338733530685924
1577440800,124.13,124.65,124.65,124.31,1026.6321673,124.3,124.59,0.0023330651649236226,1,0.29038591230893634
1577444400,124.07,124.74,124.3,124.59,396.4939637,124.58,123.22,-0.01091668004495103,-1,1.343808161823727
1577448000,122.15,124.6,124.58,123.22,2660.60911745,123.27,124.95,0.013628620102214706,1,1.7011931856899558
1577451600,122.56,124.98,123.27,124.95,783.00763969,124.95,124.16,-0.0063225290116046915,-1,0.7842201968787577
1577455200,123.96,125.43,124.95,124.16,3024.74951523,124.22,124.58,0.002898084044437284,1,0.36068226694574085
1577458800,123.82,124.83,124.22,124.58,1171.19078033,124.55,125.91,0.0109193095142513,1,1.3734754106784417
1577462400,124.39,126.15,124.55,125.91,2569.84086509,125.76,124.95,-0.006440839694656506,-1,0.8039781369274832
1577466000,124.47,126.7,125.76,124.95,3501.77462686,124.94,124.99,0.0004001920922042353,0,0.0
1577469600,124.23,125.26,124.94,124.99,2035.61597596,124.99,125.22,0.001840147211776974,1,0.23019281062485397
1577473200,124.75,125.57,124.99,125.22,1949.42138417,125.04,125.05,7.997440818930666e-05,0,0.0
1577476800,124.83,125.45,125.04,125.05,2177.13022612,125.09,125.42,0.0026381005675913207,1,0.33053970261411614
1577480400,125.08,125.51,125.09,125.42,2264.63967309,125.43,125.52,0.0007175316909829323,0,0.0
1577484000,124.95,125.56,125.43,125.52,938.69565413,125.53,126.27,0.005895005178045048,1,0.7436179415279165
1577487600,125.53,126.61,125.53,126.27,2917.92728368,126.25,126.23,-0.0001584158415841269,0,-0.0
1577491200,126.01,126.32,126.25,126.23,1152.76186023,126.23,127.38,0.009110354115503379,1,1.1593164303255874
